Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,24.2991243011961,160.5,1
2001,16.5482777290791,155.5,1
2002,26.2911541114466,146.5,1
2003,22.8510525718566,143.5,1
2004,26.7966721620291,132,14
2005,24.7669852462125,144.5,1
2006,25.0852522796149,153,2
2007,28.9270039287265,147,2
2008,28.1270643479299,147.5,7
2009,30.4315880699489,155,8
2010,36.4521290889013,150.5,1
2011,23.8416529870882,146.5,1
2012,30.9637806013732,157.5,3
2013,26.388128462129,159.5,7
2014,29.5822944927154,131.5,15
2015,22.7943901025136,139.5,5
2016,24.3593253301643,130,4
2017,28.622890651417,134,2
2018,17.4351571072289,133,6
2019,6.89447546158525,129.5,9
2020,28.3503124985135,142,4
2021,25.4355488464386,146.5,1
2022,23.7229548103621,136,2
